subject,condition,replication,leg,joint,time,angle
2,2,9,2,2,0,6.56650106951495
2,2,9,2,2,1,6.43442247676524
2,2,9,2,2,2,6.37504941612524
2,2,9,2,2,3,6.39338605438195
2,2,9,2,2,4,6.50695770952872
2,2,9,2,2,5,6.74369707047524
2,2,9,2,2,6,7.13204847522606
2,2,9,2,2,7,7.68513007860103
2,2,9,2,2,8,8.38612097201721
2,2,9,2,2,9,9.18276045739215
2,2,9,2,2,10,9.99515473240662
2,2,9,2,2,11,10.7338369195069
2,2,9,2,2,12,11.3208450909238
2,2,9,2,2,13,11.7063616339608
2,2,9,2,2,14,11.875394253952
2,2,9,2,2,15,11.8446480926631
2,2,9,2,2,16,11.6521662039531
2,2,9,2,2,17,11.3452952985483
2,2,9,2,2,18,10.9702725751069
2,2,9,2,2,19,10.5657792753072
2,2,9,2,2,20,10.1609769549935
2,2,9,2,2,21,9.7770750321325
2,2,9,2,2,22,9.43011881134359
2,2,9,2,2,23,9.13294151058572
2,2,9,2,2,24,8.89481163026308
2,2,9,2,2,25,8.71862715012373
2,2,9,2,2,26,8.59691519650744
2,2,9,2,2,27,8.50964799238687
2,2,9,2,2,28,8.42630078458666
2,2,9,2,2,29,8.31328820752307
2,2,9,2,2,30,8.14496858444889
2,2,9,2,2,31,7.91414613525735
2,2,9,2,2,32,7.63625984728298
2,2,9,2,2,33,7.34391274729662
2,2,9,2,2,34,7.07316899117797
2,2,9,2,2,35,6.84872085914504
2,2,9,2,2,36,6.67631824429385
2,2,9,2,2,37,6.54593271034471
2,2,9,2,2,38,6.44304184657043
2,2,9,2,2,39,6.36016783731666
2,2,9,2,2,40,6.30202649499204
2,2,9,2,2,41,6.28240577458031
2,2,9,2,2,42,6.31581681451725
2,2,9,2,2,43,6.40884136072506
2,2,9,2,2,44,6.55432315835632
2,2,9,2,2,45,6.73047634065904
2,2,9,2,2,46,6.90565483701139
2,2,9,2,2,47,7.04819108870174
2,2,9,2,2,48,7.1375253383291
2,2,9,2,2,49,7.17185982350911
2,2,9,2,2,50,7.17001229581956
2,2,9,2,2,51,7.16751114412499
2,2,9,2,2,52,7.20953645590146
2,2,9,2,2,53,7.34308340471582
2,2,9,2,2,54,7.61007897750892
2,2,9,2,2,55,8.04164941063269
2,2,9,2,2,56,8.65392670572284
2,2,9,2,2,57,9.44579455698486
2,2,9,2,2,58,10.399697609783
2,2,9,2,2,59,11.4841018424535
2,2,9,2,2,60,12.655212356219
2,2,9,2,2,61,13.856106583683
2,2,9,2,2,62,15.0159932430507
2,2,9,2,2,63,16.0538947436964
2,2,9,2,2,64,16.8892456793907
2,2,9,2,2,65,17.4570338375546
2,2,9,2,2,66,17.7226452314249
2,2,9,2,2,67,17.6905389054673
2,2,9,2,2,68,17.4042350189244
2,2,9,2,2,69,16.9365560498578
2,2,9,2,2,70,16.3741754254968
2,2,9,2,2,71,15.8014505249642
2,2,9,2,2,72,15.2885233106899
2,2,9,2,2,73,14.8849841278104
2,2,9,2,2,74,14.6173597751941
2,2,9,2,2,75,14.4886862591854
2,2,9,2,2,76,14.4799044440017
2,2,9,2,2,77,14.5541011658115
2,2,9,2,2,78,14.6644713506757
2,2,9,2,2,79,14.7648000380575
2,2,9,2,2,80,14.8187926211459
2,2,9,2,2,81,14.8046175692346
2,2,9,2,2,82,14.7138046177786
2,2,9,2,2,83,14.5473545569498
2,2,9,2,2,84,14.3115108810214
2,2,9,2,2,85,14.0146578297092
2,2,9,2,2,86,13.6650943299203
2,2,9,2,2,87,13.2689979633771
2,2,9,2,2,88,12.8282895184644
2,2,9,2,2,89,12.3397922555918
2,2,9,2,2,90,11.7978546530452
2,2,9,2,2,91,11.2013044487373
2,2,9,2,2,92,10.5625171212506
2,2,9,2,2,93,9.91278038565492
2,2,9,2,2,94,9.29829796545084
2,2,9,2,2,95,8.76509396828132
2,2,9,2,2,96,8.33946165787989
2,2,9,2,2,97,8.0153422305478
2,2,9,2,2,98,7.75873390491077
2,2,9,2,2,99,7.53001691468694
2,2,9,2,2,100,7.31262041502925
